,Port_IDs,Total_PnL,ROI,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,PnL_Rank,ROI_Rank,Sharpe_Ratio_Rank,Win_Rate_Rank,MDD_Rank,Win_Positions_Rank,Total_Positions_Rank,Overall_Rank
91,4016164457907769600,3672.48814258,0.12482076847239584,0.15910639095842474,-9.249281382156425e+57,42.964071856287426,287,668,49.0,133.0,80.0,55.0,34.0,62.0,60.0,89.0
1,3733192481840423936,2653.5918999,0.2324698428158437,0.05921833871157671,-1.2742261826648587e+46,78.11965811965813,457,585,71.0,120.0,128.0,1.0,40.0,45.0,69.0,91.0
126,4031673021422897664,1980.17103999,0.49258358286143783,0.27375454775816366,-4.7737016102869385e+28,31.05022831050228,68,219,105.0,81.0,34.0,104.0,61.0,106.0,106.0,92.5
96,4020204877254599680,70638.37124428,0.31442076907164496,0.06207895434265034,-inf,32.72597356198642,1832,5598,1.0,102.0,125.0,96.0,10.5,15.0,12.0,92.5
45,3953433416230728705,4915.08364666,0.41262180120959824,0.169250212495932,-2.499284762200616e+40,21.176470588235293,108,510,36.0,88.0,74.0,130.0,45.0,91.0,74.0,94.0
114,4030395639953224449,4424.09071098,0.48211062868125776,0.1755756836615497,-7435316387.385766,19.06873614190687,86,451,42.0,82.0,72.0,133.0,80.0,97.5,81.0,95.0
86,4011626972687000576,5402.36941953,0.28278801474344883,0.07687302330734674,-5.541742953231481e+101,38.62081066853834,2201,5699,32.0,109.0,120.0,69.0,24.0,10.0,9.0,96.0
80,4004410127575640832,2629.00368657,0.55438745179174,0.17791062655481688,-7.2367770160663545e+56,30.257510729613735,141,466,75.0,78.0,71.0,107.0,35.0,81.0,78.0,97.0
111,4029507714735307777,1537.89995998,3.4255709402731793,0.2037252458958768,0.0,4.081632653061225,2,49,117.0,4.0,64.0,147.0,128.5,147.0,141.0,98.5
0,3672754654734989568,565.5477615,0.48036271344254,0.1845381001654755,-3182243787.8666806,44.68546637744035,206,461,136.0,83.0,68.0,45.0,81.0,74.0,80.0,98.5
138,4037282461943784704,4622.9161153800005,0.25243816556390747,0.1338796255720879,-7.755999694983648e+38,34.55497382198953,132,382,39.0,114.0,92.0,88.0,48.0,84.0,86.0,100.0
132,4035034554469394176,2528.65246059,2.149376285371286,0.11606147554149618,-2.389248067762668e+56,18.571428571428573,65,350,78.0,21.0,99.0,137.0,36.0,107.0,91.0,101.0
119,4030708912786799105,1612.84376999,3.2081342526653476,0.18887848174932176,0.0,3.508771929824561,2,57,116.0,7.0,67.0,148.0,128.5,147.0,139.0,102.0
85,4008804082027254529,3562.0399059899996,0.08328437174631825,0.04444236668496815,-2507.71518125,53.106682297772565,453,853,52.0,139.0,135.0,15.0,90.0,46.0,53.0,103.5
82,4006366295148391425,2935.9875995400002,2.001176902797285,0.08929687253169137,-3.6395807710833524e+31,16.867469879518072,112,664,65.0,24.0,113.0,139.0,56.0,88.0,62.0,103.5
113,4030392204221219329,1347.75800996,3.0721278029263885,0.20295405684696108,0.0,9.63855421686747,8,83,124.0,12.0,65.0,141.0,128.5,139.0,129.0,105.0
63,3987739404272887297,12435.873935149999,0.5718692216611085,0.05098152245835127,-100.96738481,23.15975286849073,1312,5665,11.0,74.0,131.0,127.0,92.0,24.0,11.0,106.0
66,3988205565930333696,3337.28491469,0.36312967262160983,0.07711403891803115,-2.920243235153001e+18,38.46153846153847,135,351,57.0,98.0,119.0,71.0,69.0,82.5,90.0,107.0
135,4037073643537925121,1513.58301158,2.6187901476165076,0.16551073709773778,0.0,19.002375296912113,80,421,118.0,19.0,76.0,134.0,128.5,99.0,84.0,108.0
44,3952087967771302912,1031.93187719,0.6101247746345034,0.17840228148798903,0.0,35.18518518518518,57,162,131.0,72.0,70.0,85.0,128.5,114.0,111.0,109.5
56,3977078013600312321,4667.77171509,0.19165933548432557,0.09468075348701391,-5.242805230699943e+33,34.61018476791347,1536,4438,38.0,125.0,108.0,87.0,52.0,20.0,18.0,109.5
15,3887577207880438784,2374.46352174,0.21406736247791222,0.08469445753789001,-inf,47.747118407265106,2734,5726,91.0,122.0,116.0,32.0,10.5,1.0,8.0,111.0
142,4038768306117031680,1738.73190375,1.6656229475671493,0.13815674458588145,0.0,20.0,19,95,113.0,30.0,89.0,132.0,128.5,134.0,126.5,112.0
122,4031408429897920512,1351.26659997,3.052549061581026,0.15763904934986445,0.0,4.878048780487805,4,82,123.0,15.0,81.0,146.0,128.5,143.5,130.0,113.0
64,3988071780777702657,3422.7721085400003,0.36053782345844115,0.037107724331836,-3.094394370693506e+16,37.49467405198125,880,2347,56.0,99.0,136.0,76.0,72.0,34.0,32.0,115.0
43,3951723256343550465,5291.61958521,0.20540569224086255,0.060046065578565365,-3.6107848249074415e+127,35.66108007448789,1149,3222,34.0,124.0,126.0,83.0,22.0,28.0,23.0,115.0
26,3930688517098515713,1945.62421995,0.2969478877022024,0.06520978084364198,-1.4304206674503615e+27,47.76119402985074,128,268,106.0,106.0,124.0,31.0,62.0,85.0,100.0,115.0
128,4033614723417828608,4568.37208011,0.278364034583141,0.11725859055942918,-8506509039.553218,25.400457665903893,111,437,40.0,110.0,98.0,121.0,79.0,89.0,82.0,117.0
